participant_id,session_id,session_start_time,days_since_baseline,employment_phase
BG,BG_1604652324,2020-11-06 08:45:24,11,Initial_Phase
BG,BG_1604654730,2020-11-06 09:25:30,11,Initial_Phase
BG,BG_1605144876,2020-11-12 01:34:36,17,Adjustment_Phase
BG,BG_1605162029,2020-11-12 06:20:29,17,Adjustment_Phase
BG,BG_1605168600,2020-11-12 08:10:00,17,Adjustment_Phase
BG,BG_1605177819,2020-11-12 10:43:39,17,Adjustment_Phase
BG,BG_1605182166,2020-11-12 11:56:06,17,Adjustment_Phase
BG,BG_1605240943,2020-11-13 04:15:43,18,Adjustment_Phase
BG,BG_1605241050,2020-11-13 04:17:30,18,Adjustment_Phase
BG,BG_1605241814,2020-11-13 04:30:14,18,Adjustment_Phase
BG,BG_1605246857,2020-11-13 05:54:17,18,Adjustment_Phase
BG,BG_1605406957,2020-11-15 02:22:37,20,Adjustment_Phase
BG,BG_1605407143,2020-11-15 02:25:43,20,Adjustment_Phase
BG,BG_1605407666,2020-11-15 02:34:26,20,Adjustment_Phase
BG,BG_1605417734,2020-11-15 05:22:14,20,Adjustment_Phase
BG,BG_1606958133,2020-12-03 01:15:33,38,Adjustment_Phase
BG,BG_1606959940,2020-12-03 01:45:40,38,Adjustment_Phase
BG,BG_1606972127,2020-12-03 05:08:47,38,Adjustment_Phase
BG,BG_1606972651,2020-12-03 05:17:31,38,Adjustment_Phase
BG,BG_1606973939,2020-12-03 05:38:59,38,Adjustment_Phase
BG,BG_1606976272,2020-12-03 06:17:52,38,Adjustment_Phase
BG,BG_1606983743,2020-12-03 08:22:23,38,Adjustment_Phase
BG,BG_1606985234,2020-12-03 08:47:14,38,Adjustment_Phase
BG,BG_1606987563,2020-12-03 09:26:03,38,Adjustment_Phase
BG,BG_1607043192,2020-12-04 00:53:12,39,Adjustment_Phase
BG,BG_1607045808,2020-12-04 01:36:48,39,Adjustment_Phase
BG,BG_1607131158,2020-12-05 01:19:18,40,Adjustment_Phase
BG,BG_1607144946,2020-12-05 05:09:06,40,Adjustment_Phase
BG,BG_1607147439,2020-12-05 05:50:39,40,Adjustment_Phase
BG,BG_1607150884,2020-12-05 06:48:04,40,Adjustment_Phase
BG,BG_1607215814,2020-12-06 00:50:14,41,Adjustment_Phase
BG,BG_1607218219,2020-12-06 01:30:19,41,Adjustment_Phase
BG,BG_1607219762,2020-12-06 01:56:02,41,Adjustment_Phase
BG,BG_1607229325,2020-12-06 04:35:25,41,Adjustment_Phase
